Time [s],Capacitor voltage [V]
0.4134437266,0.530712
0.4134706266,0.529162
0.4134975266,0.530634
0.4135244266,0.528756
0.4135511266,0.53051
0.4135779266,0.52903
0.4136046266,0.52938
0.4136314266,0.530153
0.4136581266,0.525617
0.4136849266,0.529361
0.4137117266,0.528422
0.4137384266,0.530716
0.4137652266,0.528452
0.4137920266,0.528317
0.4138188266,0.530025
0.4138456266,0.526019
0.4138724266,0.531268
0.4138992266,0.528617
0.4139260266,0.526695
0.4139529266,0.528906
0.4139797266,0.529616
0.4140065266,0.526714
0.4140334266,0.527168
0.4140602266,0.527175
0.4140871266,0.527408
0.4141139266,0.528336
0.4141408266,0.529271
0.4141677266,0.529466
0.4141945266,0.525685
0.4142214266,0.526526
0.4142483266,0.528486
0.4142752266,0.528343
0.4143021266,0.527761
0.4143290266,0.527258
0.4143559266,0.528099
0.4143827266,0.527896
0.4144095266,0.529237
0.4144362266,0.527634
0.4144630266,0.525869
0.4144897266,0.52947
0.4145165266,0.530311
0.4145432266,0.52849
0.4145700266,0.528985
0.4145968266,0.526616
0.4146236266,0.52757
0.4146504266,0.526244
0.4146772266,0.528005
0.4147040266,0.525629
0.4147308266,0.524791
0.4147576266,0.526965
0.4147844266,0.526473
0.4148112266,0.528062
0.4148380266,0.529368
0.4148649266,0.525674
0.4148917266,0.52665
0.4149186266,0.52573
0.4149454266,0.525696
0.4149723266,0.528216
0.4149991266,0.529676
0.4150260266,0.528955
0.4150529266,0.528553
0.4150798266,0.528516
0.4151066266,0.527314
0.4151335266,0.528125
0.4151604266,0.52912
0.4151873266,0.530592
0.4152142266,0.529042
0.4152411266,0.526969
0.4152678266,0.528362
0.4152946266,0.527975
0.4153213266,0.527761
0.4153481266,0.529395
0.4153748266,0.528775
0.4154016266,0.528737
0.4154284266,0.528201
0.4154552266,0.532526
0.4154820266,0.529537
0.4155087266,0.527675
0.4155355266,0.527904
0.4155623266,0.529458
0.4155891266,0.530299
0.4156160266,0.527014
0.4156428266,0.526898
0.4156696266,0.527457
0.4156964266,0.526714
0.4157233266,0.524307
0.4157501266,0.527348
0.4157770266,0.52579
0.4158038266,0.524382
0.4158307266,0.526214
0.4158575266,0.529278
0.4158844266,0.526605
0.4159113266,0.525602
0.4159381266,0.526665
0.4159650266,0.526211
0.4159919266,0.524911
0.4160188266,0.52585
0.4160457266,0.527273
0.4160726266,0.528918
0.4160994266,0.527029
0.4161262266,0.524175
0.4161529266,0.528632
0.4161797266,0.528644
0.4162064266,0.527652
0.4162332266,0.52992
0.4162600266,0.526819
0.4162867266,0.527333
0.4163135266,0.530664
0.4163403266,0.529308
0.4163671266,0.528208
0.4163939266,0.530525
0.4164207266,0.529759
0.4164475266,0.530138
0.4164743266,0.527941
0.4165011266,0.528388
0.4165279266,0.529766
0.4165548266,0.528568
0.4165816266,0.52944
0.4166085266,0.526744
0.4166353266,0.527168
0.4166621266,0.527476
0.4166890266,0.527833
0.4167159266,0.528155
0.4167427266,0.530243
0.4167696266,0.527656
0.4167965266,0.52778
0.4168234266,0.527829
0.4168503266,0.529207
0.4168772266,0.527423
0.4169041266,0.526004
0.4169310266,0.526826
0.4169578266,0.529654
0.4169846266,0.529992
0.4170113266,0.528298
0.4170381266,0.522591
0.4170648266,0.526128
0.4170916266,0.525989
0.4171184266,0.526864
0.4171451266,0.528719
0.4171719266,0.529567
0.4171987266,0.52564
0.4172255266,0.527611
0.4172523266,0.529466
0.4172791266,0.530615
0.4173059266,0.529075
0.4173327266,0.529931
0.4173595266,0.527521
0.4173863266,0.530765
0.4174132266,0.527408
0.4174400266,0.529646
0.4174669266,0.527483
0.4174937266,0.528234
0.4175206266,0.529188
0.4175474266,0.528486
0.4175743266,0.529808
0.4176011266,0.530224
0.4176280266,0.527495
0.4176549266,0.52802
0.4176818266,0.527769
0.4177087266,0.529642
0.4177356266,0.529571
0.4177625266,0.528982
0.4177894266,0.527371
0.4178162266,0.531535
0.4178429266,0.532207
0.4178697266,0.5284
0.4178964266,0.529533
0.4179232266,0.530127
0.4179500266,0.525959
0.4179767266,0.528035
0.4180035266,0.524074
0.4180303266,0.527716
0.4180571266,0.526083
0.4180839266,0.528602
0.4181107266,0.525764
0.4181375266,0.529027
0.4181643266,0.529259
0.4181911266,0.52766
0.4182179266,0.52641
0.4182447266,0.525813
0.4182715266,0.531193
0.4182984266,0.530239
0.4183252266,0.52784
0.4183521266,0.527697
0.4183789266,0.52882
0.4184058266,0.52843
0.4184326266,0.526612
0.4184595266,0.529173
0.4184864266,0.530262
0.4185133266,0.527836
0.4185402266,0.52665
0.4185671266,0.524649
0.4185940266,0.525888
0.4186209266,0.52656
0.4186478266,0.528903
0.4186746266,0.526609
0.4187013266,0.526293
0.4187281266,0.525508
0.4187548266,0.528989
0.4187816266,0.527374
0.4188084266,0.526642
0.4188351266,0.528486
0.4188619266,0.529488
0.4188887266,0.527232
0.4189155266,0.528659
0.4189423266,0.528767
0.4189690266,0.530048
0.4189959266,0.526706
0.4190227266,0.528531
0.4190495266,0.525659
0.4190763266,0.526609
0.4191031266,0.527596
0.4191299266,0.528125
0.4191568266,0.528719
0.4191836266,0.527329
0.4192105266,0.526297
0.4192373266,0.524536
0.4192642266,0.529736
0.4192910266,0.529868
0.4193179266,0.530517
0.4193448266,0.530491
0.4193717266,0.528831
0.4193986266,0.53114
0.4194255266,0.529271
0.4194523266,0.529049
0.4194793266,0.528689
0.4195062266,0.529222
0.4195330266,0.525948
0.4195597266,0.529263
0.4195865266,0.526744
0.4196132266,0.527833
0.4196400266,0.527348
0.4196667266,0.52751
0.4196935266,0.526331
0.4197203266,0.526413
0.4197470266,0.526868
0.4197738266,0.52802
0.4198006266,0.526811
0.4198274266,0.525576
0.4198542266,0.528704
0.4198810266,0.526263
0.4199078266,0.52808
0.4199347266,0.527776
0.4199615266,0.527236
0.4199883266,0.528313
0.4200151266,0.526075
0.4200420266,0.526473
0.4200688266,0.527634
0.4200957266,0.532049
0.4201225266,0.525114
0.4201494266,0.526259
0.4201763266,0.525614
0.4202032266,0.528039
0.4202300266,0.526192
0.4202569266,0.528422
0.4202838266,0.527371
0.4203107266,0.528771
0.4203376266,0.529639
0.4203645266,0.529676
0.4203914266,0.526117
0.4204181266,0.527423
0.4204448266,0.527356
0.4204716266,0.528062
0.4204984266,0.527701
0.4205251266,0.527821
0.4205519266,0.52469
0.4205787266,0.526676
0.4206054266,0.528647
0.4206322266,0.530022
0.4206590266,0.526316
0.4206858266,0.527566
0.4207126266,0.527359
0.4207394266,0.527926
0.4207662266,0.52888
